epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,761.683,0.33356,0.22832,0.82678,0.99721,1,0.995,0.91891,0.3143,0.18934,0.76757,0.000735792,0.000735792,0.000735792
149,766.404,0.3209,0.21481,0.82183,0.99602,1,0.995,0.91938,0.30133,0.17333,0.76614,0.000731076,0.000731076,0.000731076
150,771.153,0.32306,0.21723,0.82811,0.99596,1,0.995,0.91778,0.3207,0.18143,0.76875,0.000726361,0.000726361,0.000726361
151,775.992,0.32522,0.21635,0.8189,0.99646,1,0.995,0.91773,0.31011,0.17711,0.76716,0.000721645,0.000721645,0.000721645
152,780.792,0.33043,0.22301,0.83016,0.99486,1,0.995,0.92296,0.31447,0.17923,0.77007,0.000716929,0.000716929,0.000716929
153,785.636,0.3227,0.2214,0.83041,0.99533,1,0.995,0.91487,0.31894,0.17914,0.77039,0.000712214,0.000712214,0.000712214
154,790.418,0.31917,0.21082,0.82751,0.99512,0.99936,0.995,0.92521,0.31172,0.1747,0.76896,0.000707498,0.000707498,0.000707498
155,795.172,0.31969,0.21501,0.82369,0.996,0.99994,0.995,0.9219,0.30671,0.17569,0.76712,0.000702782,0.000702782,0.000702782
156,799.876,0.3387,0.22013,0.83296,0.99749,1,0.995,0.92083,0.31355,0.17525,0.76788,0.000698066,0.000698066,0.000698066
157,804.575,0.32317,0.21945,0.81837,0.9966,1,0.995,0.91384,0.30934,0.17991,0.76744,0.000693351,0.000693351,0.000693351
158,809.434,0.31422,0.21766,0.82323,0.9959,1,0.995,0.91845,0.30806,0.17557,0.76748,0.000688635,0.000688635,0.000688635
159,814.323,0.31792,0.21379,0.80971,0.99658,1,0.995,0.92406,0.29868,0.17475,0.76755,0.000683919,0.000683919,0.000683919
160,819.16,0.32154,0.21699,0.81758,0.99679,1,0.995,0.92297,0.30522,0.17336,0.76642,0.000679204,0.000679204,0.000679204
161,824.051,0.30859,0.21446,0.81821,0.99674,1,0.995,0.92096,0.29788,0.17529,0.76666,0.000674488,0.000674488,0.000674488
162,829.059,0.31643,0.21212,0.82194,0.99528,1,0.995,0.92278,0.29735,0.17511,0.76581,0.000669772,0.000669772,0.000669772
163,833.82,0.31048,0.21132,0.82411,0.995,1,0.995,0.92545,0.29242,0.17278,0.76607,0.000665057,0.000665057,0.000665057
164,838.605,0.32408,0.21395,0.8302,0.99555,1,0.995,0.92628,0.30775,0.17497,0.76735,0.000660341,0.000660341,0.000660341
165,843.442,0.32726,0.21031,0.82306,0.99654,1,0.995,0.92364,0.30373,0.17626,0.76665,0.000655625,0.000655625,0.000655625
166,848.13,0.31959,0.21196,0.81654,0.99618,1,0.995,0.92299,0.30851,0.17852,0.76621,0.000650909,0.000650909,0.000650909
167,852.755,0.30363,0.20974,0.81446,0.99632,1,0.995,0.92834,0.30499,0.1803,0.76579,0.000646194,0.000646194,0.000646194
168,857.539,0.3201,0.21369,0.81966,0.99652,1,0.995,0.9211,0.31456,0.18729,0.76711,0.000641478,0.000641478,0.000641478
169,862.251,0.31545,0.21216,0.82237,0.99609,1,0.995,0.9231,0.29908,0.17841,0.76541,0.000636762,0.000636762,0.000636762
170,867.057,0.30933,0.20283,0.81615,0.99557,1,0.995,0.92367,0.30738,0.18028,0.76822,0.000632047,0.000632047,0.000632047
171,871.782,0.33074,0.22445,0.82488,0.99542,1,0.995,0.92444,0.29244,0.17796,0.76522,0.000627331,0.000627331,0.000627331
172,876.462,0.31456,0.21845,0.81894,0.99531,1,0.995,0.91828,0.30367,0.17587,0.76627,0.000622615,0.000622615,0.000622615
